id;name;descricao;taxa_de_raios;ventos_velocidade;granizo;potencial_de_danos;created;updated
1;Wisconsin Cotton;Branding Handmade Metal Car Tunnel;Tuvalu North Dakota;explicit solid state;purple District;connecting;2020-07-08T02:58:58;2020-07-07T15:49:24
2;Jewelery generate Public-key;payment;networks;Program Accounts;yellow Borders wireless;Health;2020-07-07T10:58:16;2020-07-07T15:10:08
3;Tasty Concrete Chicken fuchsia Gorgeous;fault-tolerant;Credit Card Account collaborative;Checking Account New Taiwan Dollar Cook Islands;relationships e-business;deposit;2020-07-07T11:34:34;2020-07-07T23:23:44
4;didactic Home;neural Checking Account;payment Lead neutral;bus;application;Group synergize benchmark;2020-07-07T21:09:01;2020-07-07T11:30:20
5;Technician;Face to face primary;programming;Central;data-warehouse;Seamless impactful Rubber;2020-07-07T20:20:16;2020-07-07T09:12:14
6;Rhode Island;Montenegro Granite Licensed;Steel olive South Carolina;navigate Metrics;Dynamic Washington US Dollar;Tasty;2020-07-07T19:01:32;2020-07-07T21:14:37
7;interface Towels;New Mexico Cote d'Ivoire;GB Missouri Intranet;Malaysia Factors backing up;online cross-platform;methodical Car;2020-07-07T03:59:13;2020-07-07T19:31:17
8;ADP explicit Coordinator;Rustic Pennsylvania Clothing;world-class;purple envisioneer;monitoring parsing;vortals payment turquoise;2020-07-07T20:34:30;2020-07-07T05:50:48
9;SSL Colombian Peso Unidad de Valor Real orange;Jordan AGP Games;Table SCSI;Solutions;dot-com Robust;firewall;2020-07-07T05:16:08;2020-07-07T20:00:16
10;Incredible Plastic;4th generation;ADP Developer Home Loan Account;withdrawal;Awesome explicit Cotton;Tools installation payment;2020-07-07T19:44:20;2020-07-07T04:37:03
